tag_id,tag_name,dimension,parent_tag_id,definition,inclusion_rule,exclusion_rule,positive_example,negative_example,object_grain,source_scope,cardinality,decision_method,confidence_threshold,status,version,effective_from,change_reason
theme-product_action,产品动作,核心主题,,新品、系列、产品元素与联名产品,event.theme_ids包含product_action,非品牌事实层或无对应事件证据,蜜雪冰城黄桃果霸系列回归,仅资讯号转述且无品牌事实,event,brand,multi,规则+已审核主题分配,人工确认,active,bi-tag-rule-v1.2,2026-07-21,V1.2正式维表化
product-new-launch,新品上市,业务动作,theme-product_action,产品动作下用于监测“新品上市”的正式标签,action.level2_code equals new_launch,只有文本提及但与事件动作无关，或来源不在品牌事实层,茉莉奶白生日徽章上新,无可回读证据的模糊提及,event,brand,multi,确定性选择器+分析复核,规则命中并复核,active,bi-tag-rule-v1.2,2026-07-21,继承V1.1精选标签并补齐治理字段
product-product-bundle,联名产品或套餐,业务动作,theme-product_action,产品动作下用于监测“联名产品或套餐”的正式标签,action.level2_code equals product_bundle,只有文本提及但与事件动作无关，或来源不在品牌事实层,霸王茶姬 × 王者荣耀,无可回读证据的模糊提及,event,brand,multi,确定性选择器+分析复核,规则命中并复核,active,bi-tag-rule-v1.2,2026-07-21,继承V1.1精选标签并补齐治理字段
product-lemon,柠檬,原料/产品元素,theme-product_action,产品动作下用于监测“柠檬”的正式标签,entity_ids includes ENT-PRODUCT-ELEMENT-柠檬,只有文本提及但与事件动作无关，或来源不在品牌事实层,茶百道夏日柑橘系列,无可回读证据的模糊提及,event,brand,multi,确定性选择器+分析复核,规则命中并复核,active,bi-tag-rule-v1.2,2026-07-21,继承V1.1精选标签并补齐治理字段
product-jasmine,茉莉,原料/产品元素,theme-product_action,产品动作下用于监测“茉莉”的正式标签,entity_ids includes ENT-PRODUCT-ELEMENT-茉莉,只有文本提及但与事件动作无关，或来源不在品牌事实层,茉莉奶白滇西特调上新,无可回读证据的模糊提及,event,brand,multi,确定性选择器+分析复核,规则命中并复核,active,bi-tag-rule-v1.2,2026-07-21,继承V1.1精选标签并补齐治理字段
product-yogurt,酸奶,原料/产品元素,theme-product_action,产品动作下用于监测“酸奶”的正式标签,entity_ids includes ENT-PRODUCT-ELEMENT-酸奶,只有文本提及但与事件动作无关，或来源不在品牌事实层,蜜雪冰城黄桃果霸系列回归,无可回读证据的模糊提及,event,brand,multi,确定性选择器+分析复核,规则命中并复核,active,bi-tag-rule-v1.2,2026-07-21,继承V1.1精选标签并补齐治理字段
product-passion-fruit,百香果,原料/产品元素,theme-product_action,产品动作下用于监测“百香果”的正式标签,entity_ids includes ENT-PRODUCT-ELEMENT-百香果,只有文本提及但与事件动作无关，或来源不在品牌事实层,蜜雪冰城满杯百香果上海创意内容,无可回读证据的模糊提及,event,brand,multi,确定性选择器+分析复核,规则命中并复核,active,bi-tag-rule-v1.2,2026-07-21,继承V1.1精选标签并补齐治理字段
product-series-launch,系列上新,业务动作,theme-product_action,产品动作下用于监测“系列上新”的正式标签,action.level2_code equals series_launch,只有文本提及但与事件动作无关，或来源不在品牌事实层,茶百道夏日柑橘系列,无可回读证据的模糊提及,event,brand,multi,确定性选择器+分析复核,规则命中并复核,active,bi-tag-rule-v1.2,2026-07-21,继承V1.1精选标签并补齐治理字段
product-pineapple,菠萝,原料/产品元素,theme-product_action,产品动作下用于监测“菠萝”的正式标签,entity_ids includes ENT-PRODUCT-ELEMENT-菠萝,只有文本提及但与事件动作无关，或来源不在品牌事实层,库迪咖啡 ×《蜘蛛侠：崭新之日》,无可回读证据的模糊提及,event,brand,multi,确定性选择器+分析复核,规则命中并复核,active,bi-tag-rule-v1.2,2026-07-21,继承V1.1精选标签并补齐治理字段
theme-collaboration,联名合作,核心主题,,IP、跨界合作、联名产品与线下活动,event.theme_ids包含collaboration,非品牌事实层或无对应事件证据,霸王茶姬 × 王者荣耀,仅资讯号转述且无品牌事实,event,brand,multi,规则+已审核主题分配,人工确认,active,bi-tag-rule-v1.2,2026-07-21,V1.2正式维表化
